analyte,detection_limit,reporting_limit
al,0.004,0.5
as,0.004,0.5
ba,0.001,0.5
be,0.005,0.5
ca,0.01,0.5
cd,3e-4,0.5
cr,0.001,0.5
cu,0.001,0.5
fe,0.001,0.5
k,0.3,0.5
li,0.005,0.5
mg,0.005,0.5
mn,0.001,0.5
na,0.03,0.5
ni,0.001,0.5
pb,0.002,0.5
p,0.005,20
sb,0.003,0.5
si,0.02,4
sn,0.001,2
sr,0.001,0.5
s,0.003,20
v,0.001,0.5
zn,5e-4,0.5
no2,0.005,0.05
no3,0.006,0.05
f,0.007,0.05
br,0.008,0.05
cl,0.03,0.5
so4,0.05,0.5
toc,0.05,1
doc,0.05,1
